"location","sim_type","period","date","variable","var_type","value"
"Indiana","linear_increase_sd","Past",2020-04-08,"daily_cases","lower_95",586
"Indiana","linear_increase_sd","Past",2020-04-08,"daily_deaths","lower_95",25
"Indiana","linear_increase_sd","Past",2020-04-08,"daily_hosps","lower_95",69
"Indiana","linear_increase_sd","Past",2020-04-09,"daily_all_infections","lower_95",2122
"Indiana","linear_increase_sd","Past",2020-04-09,"daily_cases","lower_95",644
"Indiana","linear_increase_sd","Past",2020-04-09,"daily_deaths","lower_95",29
"Indiana","linear_increase_sd","Past",2020-04-09,"daily_hosps","lower_95",68
"Indiana","linear_increase_sd","Past",2020-04-10,"daily_all_infections","lower_95",2143
"Indiana","linear_increase_sd","Past",2020-04-10,"daily_cases","lower_95",850
"Indiana","linear_increase_sd","Past",2020-04-10,"daily_deaths","lower_95",26
"Indiana","linear_increase_sd","Past",2020-04-10,"daily_hosps","lower_95",72
"Indiana","linear_increase_sd","Past",2020-04-11,"daily_all_infections","lower_95",2084
"Indiana","linear_increase_sd","Past",2020-04-11,"daily_cases","lower_95",735
"Indiana","linear_increase_sd","Past",2020-04-11,"daily_deaths","lower_95",34
"Indiana","linear_increase_sd","Past",2020-04-11,"daily_hosps","lower_95",71
"Indiana","linear_increase_sd","Past",2020-04-12,"daily_all_infections","lower_95",1147
"Indiana","linear_increase_sd","Past",2020-04-12,"daily_cases","lower_95",661
"Indiana","linear_increase_sd","Past",2020-04-12,"daily_deaths","lower_95",29
"Indiana","linear_increase_sd","Past",2020-04-12,"daily_hosps","lower_95",73
"Indiana","linear_increase_sd","Past",2020-04-13,"daily_all_infections","lower_95",1924
"Indiana","linear_increase_sd","Past",2020-04-13,"daily_cases","lower_95",647
"Indiana","linear_increase_sd","Past",2020-04-13,"daily_deaths","lower_95",32
"Indiana","linear_increase_sd","Past",2020-04-13,"daily_hosps","lower_95",76
"Indiana","linear_increase_sd","Past",2020-04-14,"daily_all_infections","lower_95",1420
"Indiana","linear_increase_sd","Past",2020-04-14,"daily_cases","lower_95",526
"Indiana","linear_increase_sd","Past",2020-04-14,"daily_deaths","lower_95",28
"Indiana","linear_increase_sd","Past",2020-04-14,"daily_hosps","lower_95",75
"Indiana","linear_increase_sd","Past",2020-04-15,"daily_all_infections","lower_95",1881
"Indiana","linear_increase_sd","Past",2020-04-15,"daily_cases","lower_95",474
"Indiana","linear_increase_sd","Past",2020-04-15,"daily_deaths","lower_95",30
"Indiana","linear_increase_sd","Past",2020-04-15,"daily_hosps","lower_95",73
