"variable","sim_type","location","days_ahead","conf","percent_coverage","percent_coverage_roll","n"
"daily_cases","linear_increase_sd","Arizona",10,90,0.784090909090909,0.784090909090909,88
"daily_cases","linear_increase_sd","Arizona",10,95,0.818181818181818,0.818181818181818,88
"daily_cases","linear_increase_sd","Arizona",11,80,0.64367816091954,0.689655172413793,87
"daily_cases","linear_increase_sd","Arizona",11,90,0.71264367816092,0.770114942528736,87
"daily_cases","linear_increase_sd","Arizona",11,95,0.781609195402299,0.804597701149425,87
"daily_cases","linear_increase_sd","Arizona",12,80,0.632183908045977,0.64367816091954,87
"daily_cases","linear_increase_sd","Arizona",12,90,0.724137931034483,0.724137931034483,87
"daily_cases","linear_increase_sd","Arizona",12,95,0.804597701149425,0.793103448275862,87
"daily_cases","linear_increase_sd","Arizona",13,80,0.563218390804598,0.597701149425287,87
"daily_cases","linear_increase_sd","Arizona",13,90,0.632183908045977,0.71264367816092,87
"daily_cases","linear_increase_sd","Arizona",13,95,0.689655172413793,0.758620689655172,87
"daily_cases","linear_increase_sd","Arizona",14,80,0.540229885057471,0.574712643678161,87
"daily_cases","linear_increase_sd","Arizona",14,90,0.636363636363636,0.659090909090909,88
"daily_cases","linear_increase_sd","Arizona",14,95,0.670454545454545,0.727272727272727,88
"daily_cases","linear_increase_sd","Arizona",15,80,0.540229885057471,0.563218390804598,87
"daily_cases","linear_increase_sd","Arizona",15,90,0.609195402298851,0.632183908045977,87
"daily_cases","linear_increase_sd","Arizona",15,95,0.689655172413793,0.71264367816092,87
"daily_cases","linear_increase_sd","Arizona",16,80,0.482758620689655,0.517241379310345,87
"daily_cases","linear_increase_sd","Arizona",16,90,0.563218390804598,0.597701149425287,87
"daily_cases","linear_increase_sd","Arizona",16,95,0.666666666666667,0.666666666666667,87
"daily_cases","linear_increase_sd","Arizona",17,80,0.436781609195402,0.436781609195402,87
"daily_cases","linear_increase_sd","Arizona",17,90,0.528735632183908,0.551724137931034,87
"daily_cases","linear_increase_sd","Arizona",17,95,0.597701149425287,0.64367816091954,87
"daily_cases","linear_increase_sd","Arizona",18,80,0.35632183908046,0.402298850574713,87
"daily_cases","linear_increase_sd","Arizona",18,90,0.459770114942529,0.471264367816092,87
"daily_cases","linear_increase_sd","Arizona",18,95,0.574712643678161,0.574712643678161,87
"daily_cases","linear_increase_sd","Arizona",19,80,0.333333333333333,0.32183908045977,87
"daily_cases","linear_increase_sd","Arizona",19,90,0.379310344827586,0.425287356321839,87
"daily_cases","linear_increase_sd","Arizona",19,95,0.482758620689655,0.517241379310345,87
"daily_cases","linear_increase_sd","Arizona",20,80,0.310344827586207,0.252873563218391,87
"daily_cases","linear_increase_sd","Arizona",20,90,0.379310344827586,0.367816091954023,87
"daily_cases","linear_increase_sd","Arizona",20,95,0.494252873563218,0.436781609195402,87
"daily_cases","linear_increase_sd","Arizona",21,80,0.229885057471264,0.195402298850575,87
"daily_cases","linear_increase_sd","Arizona",21,90,0.298850574712644,0.298850574712644,87
"daily_cases","linear_increase_sd","Arizona",21,95,0.402298850574713,0.390804597701149,87
"daily_cases","linear_increase_sd","Arizona",22,80,0.252873563218391,0.195402298850575,87
"daily_cases","linear_increase_sd","Arizona",22,90,0.28735632183908,0.241379310344828,87
"daily_cases","linear_increase_sd","Arizona",22,95,0.32183908045977,0.367816091954023,87
"daily_cases","linear_increase_sd","Arizona",23,80,0.206896551724138,0.195402298850575,87
"daily_cases","linear_increase_sd","Arizona",23,90,0.218390804597701,0.252873563218391,87
"daily_cases","linear_increase_sd","Arizona",23,95,0.298850574712644,0.28735632183908,87
"daily_cases","linear_increase_sd","Arizona",24,80,0.195402298850575,0.206896551724138,87
"daily_cases","linear_increase_sd","Arizona",24,90,0.275862068965517,0.241379310344828,87
"daily_cases","linear_increase_sd","Arizona",24,95,0.298850574712644,0.252873563218391,87
"daily_cases","linear_increase_sd","Arizona",25,80,0.195402298850575,0.218390804597701,87
"daily_cases","linear_increase_sd","Arizona",25,90,0.241379310344828,0.241379310344828,87
"daily_cases","linear_increase_sd","Arizona",25,95,0.28735632183908,0.264367816091954,87
"daily_cases","linear_increase_sd","Arizona",26,80,0.229885057471264,0.183908045977011,87
"daily_cases","linear_increase_sd","Arizona",26,90,0.241379310344828,0.218390804597701,87
"daily_cases","linear_increase_sd","Arizona",26,95,0.275862068965517,0.252873563218391,87
"daily_cases","linear_increase_sd","Arizona",27,80,0.183908045977011,0.206896551724138,87
"daily_cases","linear_increase_sd","Arizona",27,90,0.218390804597701,0.241379310344828,87
"daily_cases","linear_increase_sd","Arizona",27,95,0.275862068965517,0.241379310344828,87
"daily_cases","linear_increase_sd","Arizona",28,80,0.206896551724138,0.183908045977011,87
"daily_cases","linear_increase_sd","Arizona",28,90,0.241379310344828,0.218390804597701,87
"daily_cases","linear_increase_sd","Arizona",28,95,0.264367816091954,0.241379310344828,87
"daily_cases","linear_increase_sd","Arkansas",0,80,0.788461538461538,0.884615384615385,52
"daily_cases","linear_increase_sd","Arkansas",0,90,0.826923076923077,0.942307692307692,52
"daily_cases","linear_increase_sd","Arkansas",0,95,0.903846153846154,0.942307692307692,52
"daily_cases","linear_increase_sd","Arkansas",1,80,0.813186813186813,0.879120879120879,91
"daily_cases","linear_increase_sd","Arkansas",1,90,0.857142857142857,0.934065934065934,91
"daily_cases","linear_increase_sd","Arkansas",1,95,0.868131868131868,0.934065934065934,91
"daily_cases","linear_increase_sd","Arkansas",2,80,0.824175824175824,0.868131868131868,91
"daily_cases","linear_increase_sd","Arkansas",2,90,0.89010989010989,0.901098901098901,91
"daily_cases","linear_increase_sd","Arkansas",2,95,0.901098901098901,0.923076923076923,91
"daily_cases","linear_increase_sd","Arkansas",3,80,0.802197802197802,0.824175824175824,91
"daily_cases","linear_increase_sd","Arkansas",3,90,0.846153846153846,0.868131868131868,91
"daily_cases","linear_increase_sd","Arkansas",3,95,0.857142857142857,0.901098901098901,91
"daily_cases","linear_increase_sd","Arkansas",4,80,0.802197802197802,0.824175824175824,91
"daily_cases","linear_increase_sd","Arkansas",4,90,0.846153846153846,0.879120879120879,91
"daily_cases","linear_increase_sd","Arkansas",4,95,0.868131868131868,0.89010989010989,91
"daily_cases","linear_increase_sd","Arkansas",5,80,0.824175824175824,0.835164835164835,91
"daily_cases","linear_increase_sd","Arkansas",5,90,0.868131868131868,0.879120879120879,91
"daily_cases","linear_increase_sd","Arkansas",5,95,0.89010989010989,0.912087912087912,91
"daily_cases","linear_increase_sd","Arkansas",6,80,0.782608695652174,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",6,90,0.804347826086957,0.858695652173913,92
"daily_cases","linear_increase_sd","Arkansas",6,95,0.869565217391304,0.902173913043478,92
"daily_cases","linear_increase_sd","Arkansas",7,80,0.771739130434783,0.771739130434783,92
"daily_cases","linear_increase_sd","Arkansas",7,90,0.826086956521739,0.847826086956522,92
"daily_cases","linear_increase_sd","Arkansas",7,95,0.858695652173913,0.891304347826087,92
"daily_cases","linear_increase_sd","Arkansas",8,80,0.771739130434783,0.815217391304348,92
"daily_cases","linear_increase_sd","Arkansas",8,90,0.815217391304348,0.869565217391304,92
"daily_cases","linear_increase_sd","Arkansas",8,95,0.869565217391304,0.891304347826087,92
"daily_cases","linear_increase_sd","Arkansas",9,80,0.804347826086957,0.804347826086957,92
"daily_cases","linear_increase_sd","Arkansas",9,90,0.815217391304348,0.869565217391304,92
"daily_cases","linear_increase_sd","Arkansas",9,95,0.858695652173913,0.880434782608696,92
"daily_cases","linear_increase_sd","Arkansas",10,80,0.815217391304348,0.793478260869565,92
"daily_cases","linear_increase_sd","Arkansas",10,90,0.83695652173913,0.826086956521739,92
"daily_cases","linear_increase_sd","Arkansas",10,95,0.880434782608696,0.880434782608696,92
"daily_cases","linear_increase_sd","Arkansas",11,80,0.793478260869565,0.804347826086957,92
"daily_cases","linear_increase_sd","Arkansas",11,90,0.815217391304348,0.826086956521739,92
"daily_cases","linear_increase_sd","Arkansas",11,95,0.847826086956522,0.858695652173913,92
"daily_cases","linear_increase_sd","Arkansas",12,80,0.793478260869565,0.793478260869565,92
"daily_cases","linear_increase_sd","Arkansas",12,90,0.826086956521739,0.815217391304348,92
"daily_cases","linear_increase_sd","Arkansas",12,95,0.858695652173913,0.83695652173913,92
"daily_cases","linear_increase_sd","Arkansas",13,80,0.804347826086957,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",13,90,0.83695652173913,0.83695652173913,92
"daily_cases","linear_increase_sd","Arkansas",13,95,0.869565217391304,0.858695652173913,92
"daily_cases","linear_increase_sd","Arkansas",14,80,0.739130434782609,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",14,90,0.804347826086957,0.83695652173913,92
"daily_cases","linear_increase_sd","Arkansas",14,95,0.804347826086957,0.83695652173913,92
"daily_cases","linear_increase_sd","Arkansas",15,80,0.684782608695652,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",15,90,0.75,0.815217391304348,92
"daily_cases","linear_increase_sd","Arkansas",15,95,0.83695652173913,0.83695652173913,92
"daily_cases","linear_increase_sd","Arkansas",16,80,0.684782608695652,0.728260869565217,92
"daily_cases","linear_increase_sd","Arkansas",16,90,0.771739130434783,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",16,95,0.804347826086957,0.83695652173913,92
"daily_cases","linear_increase_sd","Arkansas",17,80,0.66304347826087,0.695652173913043,92
"daily_cases","linear_increase_sd","Arkansas",17,90,0.739130434782609,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",17,95,0.782608695652174,0.815217391304348,92
"daily_cases","linear_increase_sd","Arkansas",18,80,0.630434782608696,0.641304347826087,92
"daily_cases","linear_increase_sd","Arkansas",18,90,0.75,0.760869565217391,92
"daily_cases","linear_increase_sd","Arkansas",18,95,0.793478260869565,0.782608695652174,92
"daily_cases","linear_increase_sd","Arkansas",19,80,0.554347826086957,0.554347826086957,92
"daily_cases","linear_increase_sd","Arkansas",19,90,0.706521739130435,0.717391304347826,92
"daily_cases","linear_increase_sd","Arkansas",19,95,0.760869565217391,0.771739130434783,92
"daily_cases","linear_increase_sd","Arkansas",20,80,0.489130434782609,0.543478260869565,92
