"variable","sim_type","location","conf","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"daily_cases","linear_increase_sd","Colorado",95,0.980769230769231,0.966666666666667,0.934065934065934,0.923076923076923,0.923076923076923,0.89010989010989,0.879120879120879,0.846153846153846,0.868131868131868,0.824175824175824,0.824175824175824,0.78021978021978,0.758241758241758,0.703296703296703,0.681318681318681,0.659340659340659,0.593406593406593,0.549450549450549,0.472527472527473,0.417582417582418,0.362637362637363,0.340659340659341,0.274725274725275,0.252747252747253,0.21978021978022,0.164835164835165,0.153846153846154,0.153846153846154,0.120879120879121
"daily_cases","linear_increase_sd","Connecticut",80,0.961538461538462,0.934782608695652,0.934782608695652,0.880434782608696,0.891304347826087,0.891304347826087,0.880434782608696,0.869565217391304,0.858695652173913,0.847826086956522,0.869565217391304,0.880434782608696,0.83695652173913,0.826086956521739,0.83695652173913,0.815217391304348,0.760869565217391,0.75,0.717391304347826,0.66304347826087,0.630434782608696,0.58695652173913,0.543478260869565,0.510869565217391,0.434782608695652,0.41304347826087,0.41304347826087,0.384615384615385,0.351648351648352
"daily_cases","linear_increase_sd","Connecticut",90,0.980769230769231,0.956521739130435,0.945652173913043,0.923913043478261,0.923913043478261,0.923913043478261,0.91304347826087,0.902173913043478,0.902173913043478,0.91304347826087,0.91304347826087,0.891304347826087,0.891304347826087,0.880434782608696,0.880434782608696,0.869565217391304,0.858695652173913,0.847826086956522,0.83695652173913,0.804347826086957,0.793478260869565,0.771739130434783,0.717391304347826,0.706521739130435,0.630434782608696,0.597826086956522,0.543478260869565,0.489130434782609,0.489130434782609
"daily_cases","linear_increase_sd","Connecticut",95,0.980769230769231,0.989130434782609,0.967391304347826,0.934782608695652,0.934782608695652,0.934782608695652,0.934782608695652,0.934782608695652,0.91304347826087,0.923913043478261,0.923913043478261,0.91304347826087,0.923913043478261,0.891304347826087,0.891304347826087,0.902173913043478,0.902173913043478,0.902173913043478,0.858695652173913,0.858695652173913,0.826086956521739,0.815217391304348,0.782608695652174,0.782608695652174,0.75,0.717391304347826,0.695652173913043,0.673913043478261,0.58695652173913
"daily_cases","linear_increase_sd","Delaware",80,0.862745098039216,0.876404494382023,0.865168539325843,0.853932584269663,0.853932584269663,0.855555555555556,0.833333333333333,0.811111111111111,0.8,0.808988764044944,0.786516853932584,0.722222222222222,0.696629213483146,0.629213483146067,0.584269662921348,0.539325842696629,0.528089887640449,0.488888888888889,0.466666666666667,0.460674157303371,0.449438202247191,0.438202247191011,0.393258426966292,0.348314606741573,0.325842696629214,0.314606741573034,0.303370786516854,0.258426966292135,0.247191011235955
"daily_cases","linear_increase_sd","Delaware",90,0.92156862745098,0.910112359550562,0.910112359550562,0.910112359550562,0.887640449438202,0.888888888888889,0.877777777777778,0.855555555555556,0.855555555555556,0.876404494382023,0.853932584269663,0.844444444444444,0.831460674157303,0.741573033707865,0.707865168539326,0.730337078651685,0.677777777777778,0.6,0.555555555555556,0.544444444444444,0.511111111111111,0.528089887640449,0.488888888888889,0.460674157303371,0.411111111111111,0.370786516853933,0.382022471910112,0.348314606741573,0.325842696629214
"daily_cases","linear_increase_sd","Delaware",95,0.941176470588235,0.910112359550562,0.921348314606742,0.932584269662921,0.932584269662921,0.933333333333333,0.922222222222222,0.888888888888889,0.9,0.910112359550562,0.910112359550562,0.888888888888889,0.865168539325843,0.842696629213483,0.808988764044944,0.777777777777778,0.722222222222222,0.7,0.644444444444444,0.611111111111111,0.577777777777778,0.573033707865168,0.555555555555556,0.49438202247191,0.477777777777778,0.471910112359551,0.422222222222222,0.382022471910112,0.359550561797753
"daily_cases","linear_increase_sd","Florida",80,0.903846153846154,0.89010989010989,0.802197802197802,0.736263736263736,0.736263736263736,0.714285714285714,0.681318681318681,0.659340659340659,0.67032967032967,0.637362637362637,0.571428571428571,0.549450549450549,0.505494505494505,0.450549450549451,0.450549450549451,0.32967032967033,0.32967032967033,0.307692307692308,0.241758241758242,0.197802197802198,0.142857142857143,0.131868131868132,0.142857142857143,0.131868131868132,0.120879120879121,0.10989010989011,0.10989010989011,0.10989010989011,0.0989010989010989
"daily_cases","linear_increase_sd","Florida",90,0.961538461538462,0.912087912087912,0.879120879120879,0.824175824175824,0.802197802197802,0.78021978021978,0.78021978021978,0.758241758241758,0.769230769230769,0.736263736263736,0.67032967032967,0.648351648351648,0.571428571428571,0.604395604395604,0.56043956043956,0.472527472527473,0.428571428571429,0.384615384615385,0.285714285714286,0.21978021978022,0.208791208791209,0.175824175824176,0.208791208791209,0.164835164835165,0.142857142857143,0.120879120879121,0.120879120879121,0.120879120879121,0.120879120879121
"daily_cases","linear_increase_sd","Florida",95,0.961538461538462,0.934065934065934,0.901098901098901,0.868131868131868,0.857142857142857,0.835164835164835,0.824175824175824,0.824175824175824,0.802197802197802,0.802197802197802,0.736263736263736,0.725274725274725,0.714285714285714,0.659340659340659,0.626373626373626,0.549450549450549,0.538461538461538,0.472527472527473,0.362637362637363,0.307692307692308,0.263736263736264,0.21978021978022,0.21978021978022,0.186813186813187,0.164835164835165,0.131868131868132,0.131868131868132,0.131868131868132,0.120879120879121
"daily_cases","linear_increase_sd","Georgia",80,0.903846153846154,0.912087912087912,0.824175824175824,0.739130434782609,0.728260869565217,0.706521739130435,0.706521739130435,0.684782608695652,0.66304347826087,0.641304347826087,0.619565217391304,0.576086956521739,0.576086956521739,0.543478260869565,0.521739130434783,0.467391304347826,0.380434782608696,0.33695652173913,0.293478260869565,0.260869565217391,0.195652173913043,0.130434782608696,0.0978260869565217,0.0652173913043478,0.0434782608695652,0.0326086956521739,0.0217391304347826,0.0217391304347826,0.0217391304347826
